Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,formula_times,other_milk_times,yogurt_times,solid_semi_soft_times,mmf_bf_68,mmf_bf_923,solid_semi_soft_milk_times,mmf_nbf_623,mmf_ch,chweight
Total,2011,Urban,Southeast,Rich,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,3.0,0,0,100,0,,0.471618043067198
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,4.0,4.0,3.0,0,0,100,0,,0.471618043067198
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,100,0,0,0,0,100,0,0,0.0,,3.0,0.0,0.0,1.0,0,0,100,0,,0.471618043067198
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0.0,0.471618043067198
Total,2011,Urban,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,1.0,0,0,100,0,,0.471618043067198
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,4.0,1.0,2.0,0,0,100,0,,0.9600795876725101
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,3.0,0.0,1.0,3.0,0,100,100,0,100.0,0.9600795876725101
Total,2011,Urban,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,4.0,0,0,100,0,,0.9600795876725101
Total,2011,Urban,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,0.0,0.0,0.0,0.0,0,0,0,0,,0.9600795876725101
Total,2011,Urban,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,3.0,0.0,1.0,0.0,0,0,100,0,0.0,0.9600795876725101
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,4.0,0.0,1.0,0,0,100,0,,1.7404951589384692
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,7.0,0.0,1.0,0,0,100,0,,1.7404951589384692
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,0.0,1.0,2.0,0,0,0,0,,1.7404951589384692
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,4.0,0.0,0.0,2.0,0,0,100,0,0.0,1.7404951589384692
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,2.0,3.0,0,0,100,0,,1.7404951589384692
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,2.0,0,0,100,0,,1.7404951589384692
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,2.0,0,0,100,0,,1.7404951589384692
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,1.0,1.0,0,0,100,100,100.0,1.7404951589384692
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,1.0,3.0,0,0,100,0,,1.0260617428707366
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,4.0,1.0,1.0,0,0,100,0,,1.0260617428707366
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,1.0260617428707366
Total,2011,Rural,Southeast,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,3.0,0,0,100,0,,1.0260617428707366
Total,2011,Rural,Southeast,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,0.0,6.0,0.0,3.0,0,100,100,0,100.0,1.0260617428707366
Total,2011,Urban,Southeast,Poor,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,1.0,0.0,3.0,0,0,100,100,100.0,0.6232095569102258
Total,2011,Urban,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,2.0,0,0,100,0,,0.6232095569102258
Total,2011,Urban,Southeast,Middle,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,0,0,100,0,100,100,0,0,,,2.0,0.0,0.0,3.0,0,100,100,0,100.0,0.6232095569102258
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,3.0,0,0,100,0,,0.6232095569102258
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,0.0,4.0,1.0,3.0,0,0,100,100,100.0,0.6232095569102258
Total,2011,Urban,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,3.0,0,0,100,0,,0.6232095569102258
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,6.0,2.0,3.0,0,0,100,0,,0.6232095569102258
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,6.0,0,0,100,0,,0.6232095569102258
Total,2011,Urban,Southeast,Rich,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,5.0,0,0,100,0,,0.6232095569102258
Total,2011,Urban,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,0.0,1.0,1.0,1.0,0,0,0,0,0.0,0.6232095569102258
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,100,0,0,0,0,100,0,0,0.0,,1.0,0.0,0.0,3.0,0,0,100,0,,0.6232095569102258
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,4.0,0,0,100,0,,0.6706285901115926
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,4.0,0.0,3.0,0,100,100,0,100.0,0.6706285901115926
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,3.0,0,0,100,0,,0.6706285901115926
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.6706285901115926
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,100,0,0,0,0,100,0,100,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,,0.6706285901115926
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,4.0,0,0,100,0,,0.6706285901115926
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,1.0,3.0,0,0,100,0,,0.6706285901115926
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,1.0,3.0,0,0,100,0,,0.6706285901115926
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,1.0,3.0,0,0,100,0,,0.6706285901115926
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,4.0,0,0,100,0,,0.6706285901115926
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,0,0,0,,0.0,0.0,6.0,0.0,3.0,0,0,100,100,100.0,0.6706285901115926
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,3.0,0,0,100,0,,1.8978789100158076
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,2.0,0,0,100,0,,1.8978789100158076
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,3.0,0,0,100,0,,1.8978789100158076
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,6.0,0.0,3.0,0,0,100,0,,1.8978789100158076
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,0.0,2.0,0,0,100,100,100.0,1.8978789100158076
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,100,0,0,100,100,0,100,,,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.7779291645294476
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,2.0,2.0,0,0,100,0,,0.7779291645294476
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,4.0,0,0,100,0,,0.7779291645294476
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,100,100,100,100,0,0,,100.0,0.0,0.0,1.0,3.0,0,100,100,0,100.0,0.7779291645294476
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,4.0,0,0,100,0,,0.7779291645294476
Total,2011,Rural,Southeast,Poorest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,4.0,0,0,100,0,,0.7779291645294476
Total,2011,Rural,Southeast,Poorest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,6.0,1.0,4.0,0,0,100,100,100.0,0.7779291645294476
Total,2011,Rural,Southeast,Poorest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,4.0,0.0,0.0,3.0,100,0,100,0,100.0,0.7779291645294476
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.7779291645294476
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,1.0,2.0,0,0,100,100,100.0,0.9858240274640411
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,3.0,0,0,100,0,,0.9858240274640411
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,100,0,0,,,0.0,3.0,1.0,3.0,0,0,100,0,,0.9858240274640411
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,3.0,0,0,100,0,,0.9858240274640411
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,3.0,1.0,0,0,100,0,,0.9858240274640411
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,2.0,0,0,100,0,,1.1400686031897078
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,7.0,0.0,2.0,0,0,100,100,100.0,1.1400686031897078
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,10.0,0.0,2.0,0,0,100,0,,1.1400686031897078
Total,2011,Rural,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,4.0,0.0,2.0,0,0,100,0,,1.1400686031897078
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,2.0,0,0,100,0,,1.1400686031897078
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,4.0,0,0,100,0,,1.1400686031897078
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,0.0,0.0,0.0,3.0,0,100,0,0,100.0,1.1400686031897078
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,4.0,0,0,100,0,,1.1400686031897078
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,4.0,0.0,3.0,0,0,100,0,,1.1400686031897078
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,3.0,0,0,100,0,,1.1400686031897078
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,3.0,0,0,100,0,,0.8248731658372591
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,3.0,0,0,100,0,,0.8248731658372591
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,3.0,0,0,100,0,,0.8248731658372591
Total,2011,Rural,Southeast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.8248731658372591
Total,2011,Rural,Southeast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,3.0,0,0,0,0,,0.8248731658372591
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,100,0,0,100,100,0,0,,,0.0,0.0,0.0,3.0,100,0,0,0,100.0,0.4627337271769989
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,4.0,0,0,100,0,,0.4627337271769989
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,2.0,0.0,3.0,0,0,100,100,100.0,0.4627337271769989
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,2.0,0.0,3.0,0,0,100,100,100.0,0.4627337271769989
Total,2011,Rural,Southeast,Poorest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,3.0,0,0,100,0,,0.4627337271769989
Total,2011,Rural,Southeast,Poorest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,1.0,0.0,3.0,0,100,100,0,100.0,0.4627337271769989
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,3.0,0,0,100,0,,0.4627337271769989
Total,2011,Rural,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,0.0,1.0,0,0,100,100,100.0,1.4820891841466195
Total,2011,Rural,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,3.0,3.0,1.0,3.0,0,100,100,0,100.0,1.4820891841466195
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,6.0,1.0,2.0,0,0,100,0,,1.4820891841466195
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,,,0.0,6.0,1.0,2.0,0,0,100,0,,1.4820891841466195
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,3.0,0,0,100,0,,1.4820891841466195
Total,2011,Rural,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,0.0,3.0,0,0,100,100,100.0,1.4820891841466195
Total,2011,Rural,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,2.0,0,0,100,0,,1.4820891841466195
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,4.0,1.0,2.0,0,0,100,0,,1.4820891841466195
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.0,0.0,0.0,0.0,0,0,0,0,,1.4820891841466195
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,2.0,0.0,1.0,2.0,0,0,100,0,0.0,1.7503406201912575
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,3.0,0.0,0.0,3.0,0,100,100,0,100.0,1.7503406201912575
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,4.0,1.0,3.0,0,100,100,0,100.0,1.7503406201912575
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,4.0,1.0,2.0,0,0,100,0,,1.7503406201912575
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,2.0,0,0,100,0,,0.7354995671643205
Total,2011,Urban,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,100,0,0,,100.0,0.0,2.0,0.0,3.0,0,100,100,0,100.0,0.7354995671643205
Total,2011,Urban,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,5.0,0,0,100,0,,0.7354995671643205
Total,2011,Urban,Southeast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,3.0,0,0,100,0,,0.7354995671643205
Total,2011,Urban,Southeast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,5.0,0,0,100,0,,0.7354995671643205
Total,2011,Urban,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,2.0,0.0,3.0,0,0,100,100,100.0,0.7354995671643205
Total,2011,Urban,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,3.0,0,0,100,0,,0.7354995671643205
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,4.0,0,0,100,0,,0.5297965861881582
Total,2011,Rural,Southeast,Poor,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,2.0,0.0,4.0,0,0,100,100,100.0,0.5297965861881582
Total,2011,Rural,Southeast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,4.0,1.0,3.0,0,0,100,0,,0.5297965861881582
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,1.0,3.0,0,0,100,0,,0.5297965861881582
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,2.0,0.0,3.0,0,0,100,100,100.0,0.5297965861881582
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,4.0,0,0,100,0,,0.5297965861881582
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,5.0,0.0,2.0,0,0,100,100,100.0,0.5297965861881582
Total,2011,Rural,Southeast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,,0.5297965861881582
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,1.0,7.0,0,0,100,0,,0.637097160606013
Total,2011,Rural,Southeast,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,0.0,1.0,0,0,100,100,100.0,0.637097160606013
Total,2011,Rural,Southeast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,3.0,0,0,100,0,,0.637097160606013
